46,3
54,111
60,45
66,377
70,5
72,2
74,62
76,3
77,4
78,18
85,6
86,3
88,10
89,5
90,18
92,1
100,7
103,7
104,18
108,5
114,1
120,6
123,1
125,1
132,1
135,1
140,1
143,2
147,9
153,3
155,1
159,1
161,8
162,1
167,1
169,1
173,1
176,3
180,3
185,1
188,5
192,2
198,1
209,1
211,1
217,1
226,1
229,1
248,1
253,1
255,1
261,5
265,6
275,1
277,2
289,2
296,1
300,1
312,3
319,1
320,1
324,2
332,5
333,1
348,1
356,1
372,1
376,1
378,1
380,1
384,1
392,5
451,3
486,1
515,2
535,2
571,2
575,8
583,5
597,1
673,1
697,1
698,1
711,4
747,1
774,1
842,1
875,1
909,1
935,1
937,1
978,1
999,11
1007,1
1033,1
1078,1
1097,1
1182,1
1217,1
1220,1
1223,1
1245,1
1251,1
1253,1
1256,1
1260,3
1282,1
1292,1
1316,1
1475,5
1477,3
1483,21
1490,1
1494,204
1552,1
1603,1
1801,2
2092,1
2237,1
2346,1
2453,1
