流数量，单位时间捕获数据包数量，单位时间总包长，单位时间平均包长，单位时间平均数据包间隔，源地址数量，目的地址数量，总地址数量
第0秒：1,4,216,54.000,0.233,1,1,2
第2秒：3,8,552,69.000,0.109,4,5,5
第4秒：0,1,54,54.000,0.000,1,1,2
第5秒：2,7,499,71.286,0.016,2,2,2
第6秒：1,3,293,97.667,0.133,3,3,4
第7秒：2,5,300,60.000,0.134,3,4,4
第8秒：4,22,6238,283.545,0.017,4,4,4
第9秒：2,4,773,193.250,0.048,3,3,3
第11秒：0,6,444,74.000,0.102,1,1,2
第13秒：1,2,132,66.000,0.027,2,2,2
第14秒：0,1,54,54.000,0.000,1,2,2
第15秒：1,2,132,66.000,0.025,2,2,2
第16秒：2,4,909,227.250,0.065,3,3,3
第17秒：1,3,168,56.000,0.286,2,3,3
第18秒：2,4,264,66.000,0.265,3,3,3
第19秒：2,5,1257,251.400,0.168,3,3,4
第20秒：1,3,270,90.000,0.030,2,2,2
第21秒：1,5,367,73.400,0.006,2,2,2
第24秒：2,7,499,71.286,0.022,2,2,2
第25秒：1,2,132,66.000,0.026,2,2,2
第27秒：3,11,2364,214.909,0.054,5,6,7
第28秒：1,2,114,57.000,0.060,2,2,2
第30秒：2,6,372,62.000,0.056,2,3,3
第34秒：1,3,234,78.000,0.026,2,2,2
第35秒：0,1,66,66.000,0.000,1,2,2
第37秒：2,5,330,66.000,0.193,3,3,3
第38秒：1,2,114,57.000,0.061,2,2,2
第41秒：3,9,631,70.111,0.035,3,3,3
第42秒：1,10,3494,349.400,0.000,2,2,3
第44秒：3,28,7485,267.321,0.032,4,5,5
第45秒：2,5,1047,209.400,0.069,3,3,3
第46秒：2,6,495,82.500,0.071,4,4,5
第47秒：1,2,132,66.000,0.029,2,2,2
第48秒：3,18,3008,167.111,0.011,4,4,4
第49秒：1,2,132,66.000,0.023,2,2,2
第50秒：2,22,9374,426.091,0.035,3,3,3
第51秒：1,10,5342,534.200,0.000,2,2,2
第52秒：3,13,1415,108.846,0.067,3,5,6
第53秒：2,13,2036,156.615,0.061,4,6,8
第54秒：0,2,569,284.500,0.214,2,2,4
第55秒：1,4,859,214.750,0.155,3,4,5
第56秒：1,3,291,97.000,0.193,3,3,4
第57秒：1,2,132,66.000,0.029,2,2,2
第58秒：1,2,132,66.000,0.026,2,2,2
第59秒：0,2,331,165.500,0.474,2,3,4
第60秒：4,15,2630,175.333,0.018,6,6,6
第61秒：4,19,4632,243.789,0.048,5,5,5
第62秒：1,5,2049,409.800,0.022,2,2,2
第63秒：2,22,9681,440.045,0.019,2,4,4
第64秒：4,65,25589,393.677,0.004,6,5,6
第65秒：1,3,162,54.000,0.228,1,1,2
第66秒：0,4,335,83.750,0.268,2,3,5
第67秒：1,4,252,63.000,0.170,3,3,4
第68秒：0,1,54,54.000,0.000,1,1,2
第69秒：1,2,132,66.000,0.026,2,2,2
第71秒：3,8,610,76.250,0.031,4,5,5
第72秒：1,3,186,62.000,0.256,2,3,3
第73秒：1,4,301,75.250,0.000,2,2,2
第74秒：1,3,180,60.000,0.052,3,2,3
第75秒：2,20,6877,343.850,0.012,3,3,3
第76秒：1,4,1842,460.500,0.026,2,2,2
第77秒：5,28,10278,367.071,0.029,5,5,5
第79秒：0,1,54,54.000,0.000,1,1,2
第80秒：0,1,54,54.000,0.000,1,1,2
第81秒：3,392,302983,772.916,0.002,4,5,5
第82秒：1,2,132,66.000,0.026,2,2,2
第83秒：2,8,1049,131.125,0.043,3,3,3
第84秒：2,21,9371,446.238,0.030,3,3,3
第85秒：4,37,23509,635.378,0.021,5,5,5
第86秒：2,5,425,85.000,0.100,3,3,4
第87秒：1,3,186,62.000,0.268,2,3,3
第88秒：3,12,4317,359.750,0.086,3,3,3
第90秒：0,1,54,54.000,0.000,1,1,2
第91秒：2,8,601,75.125,0.061,4,3,4
第93秒：3,22,6715,305.227,0.010,3,3,3
第94秒：0,1,54,54.000,0.000,1,1,2
第95秒：2,6,468,78.000,0.066,3,4,4
第97秒：2,5,330,66.000,0.224,3,2,3
第98秒：1,2,114,57.000,0.044,2,2,2
第101秒：1,2,114,57.000,0.055,2,2,2
第104秒：2,4,264,66.000,0.008,2,2,2
第105秒：1,4,909,227.250,0.077,2,2,2
第106秒：1,3,293,97.667,0.125,3,3,4
第107秒：1,2,132,66.000,0.026,2,2,2
第108秒：2,4,1179,294.750,0.110,3,3,3
第109秒：4,24,7155,298.125,0.016,5,5,5
第110秒：1,6,4215,702.500,0.128,2,2,2
第112秒：1,12,5456,454.667,0.046,2,3,3
第113秒：1,2,132,66.000,0.028,2,2,2
第114秒：1,8,763,95.375,0.046,5,3,7
第115秒：2,8,1747,218.375,0.127,4,4,5
第116秒：2,5,715,143.000,0.191,4,4,5
第117秒：2,6,776,129.333,0.118,4,4,6
第118秒：2,4,246,61.500,0.094,3,3,3
第119秒：1,2,132,66.000,0.026,2,2,2
第120秒：1,3,270,90.000,0.030,3,3,3
第121秒：2,5,348,69.600,0.132,3,3,3
